"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","71","TC-BOOK-N04: Create booking with a malformed JSON body returns a client error unquoted key","","2026-09-18","passed","2026-09-18","","com.flamingo.qa.api.booking.BookingNegativeTests","com.flamingo.qa.api.booking.BookingNegativeTests","createBookingWithMalformedJsonBody"
"","123","TC-GQL-004: Query movies connection returns pagination info","","2026-09-18","passed","2026-09-18","","com.flamingo.qa.api.graphql.GraphQLPositiveTests","com.flamingo.qa.api.graphql.GraphQLPositiveTests","queryMoviesConnection"
"","4821","TC-GQL-N03: Query a movie with a non-existent id returns null data","","2026-09-18","passed","2026-09-18","","com.flamingo.qa.api.graphql.GraphQLNegativeTests","com.flamingo.qa.api.graphql.GraphQLNegativeTests","queryMovieWithNonExistentId"
"","759","TC-BOOK-006: Get booking ids without filters returns a non-empty list","","2026-09-18","passed","2026-09-18","","com.flamingo.qa.api.booking.BookingCrudTests","com.flamingo.qa.api.booking.BookingCrudTests","getBookingIdsWithoutFilters"
"","4376","TC-UI-TABLE-N03: Adding a record with a required field left blank does not add it to the table","","2026-09-18","passed","2026-09-18","","com.flamingo.qa.ui.webtables.WebTablesTests","com.flamingo.qa.ui.webtables.WebTablesTests","addRecordWithMissingRequiredFieldIsRejected"
"","2062","TC-UI-TABLE-001: Adding a new record shows it in the table","","2026-09-18","passed","2026-09-18","","com.flamingo.qa.ui.webtables.WebTablesTests","com.flamingo.qa.ui.webtables.WebTablesTests","addNewRecordShowsItInTable"
"","2263","TC-UI-FORM-001: Submitting a fully filled form shows the correct data in the success modal","","2026-09-18","passed","2026-09-18","","com.flamingo.qa.ui.form.PracticeFormTests","com.flamingo.qa.ui.form.PracticeFormTests","submitFullyFilledFormShowsMatchingSummary"
"","88","TC-AUTH-002: Authentication with invalid credentials returns no token","","2026-09-18","passed","2026-09-18","","com.flamingo.qa.api.auth.AuthTests","com.flamingo.qa.api.auth.AuthTests","createTokenWithInvalidCredentials"
"","210","unauthenticatedRequestReturns403(String, Function) TC-BOOK-N03: Delete booking without an auth token returns 403","","2026-09-18","passed","2026-09-18","","com.flamingo.qa.api.booking.BookingNegativeTests","com.flamingo.qa.api.booking.BookingNegativeTests","unauthenticatedRequestReturns403"
"","1172","TC-UI-TABLE-N01: Clicking a column header does not reorder rows (no sort support in this build)","","2026-09-18","passed","2026-09-18","","com.flamingo.qa.ui.webtables.WebTablesTests","com.flamingo.qa.ui.webtables.WebTablesTests","clickingColumnHeaderDoesNotReorderRows"
"","3826","TC-PING-001: Health check endpoint is reachable","","2026-09-18","passed","2026-09-18","","com.flamingo.qa.api.ping.PingTests","com.flamingo.qa.api.ping.PingTests","pingHealthCheck"
"","114","invalidQueryReturnsGraphQLError(String, String) TC-GQL-N01: Query with an unknown field returns a GraphQL error","","2026-09-18","passed","2026-09-18","","com.flamingo.qa.api.graphql.GraphQLNegativeTests","com.flamingo.qa.api.graphql.GraphQLNegativeTests","invalidQueryReturnsGraphQLError"
"","724","unauthenticatedRequestReturns403(String, Function) TC-BOOK-N02: Update booking without an auth token returns 403","","2026-09-18","passed","2026-09-18","","com.flamingo.qa.api.booking.BookingNegativeTests","com.flamingo.qa.api.booking.BookingNegativeTests","unauthenticatedRequestReturns403"
"","2599","TC-UI-TABLE-002: Editing an existing record updates its values in the table","","2026-09-18","passed","2026-09-18","","com.flamingo.qa.ui.webtables.WebTablesTests","com.flamingo.qa.ui.webtables.WebTablesTests","editRecordUpdatesItsValues"
"","3824","TC-BOOK-N01: Get booking with a non-existent id returns 404","","2026-09-18","passed","2026-09-18","","com.flamingo.qa.api.booking.BookingNegativeTests","com.flamingo.qa.api.booking.BookingNegativeTests","getBookingWithNonExistentId"
"","73","TC-BOOK-N04: Create booking with a malformed JSON body returns a client error truncated object","","2026-09-18","passed","2026-09-18","","com.flamingo.qa.api.booking.BookingNegativeTests","com.flamingo.qa.api.booking.BookingNegativeTests","createBookingWithMalformedJsonBody"
"","4896","TC-BOOK-002: Get booking by id returns the matching booking data","","2026-09-18","passed","2026-09-18","","com.flamingo.qa.api.booking.BookingCrudTests","com.flamingo.qa.api.booking.BookingCrudTests","getBookingWithValidId"
"","199","TC-BOOK-007: Get booking ids filtered by first/last name includes the matching booking","","2026-09-18","passed","2026-09-18","","com.flamingo.qa.api.booking.BookingCrudTests","com.flamingo.qa.api.booking.BookingCrudTests","getBookingIdsFilteredByFirstNameAndLastName"
"","5016","submitFormWithInvalidFieldShowsNoSuccessModal(String, BiConsumer, String, Page) TC-UI-FORM-N02: Submitting the form with an invalid email format shows no success modal","","2026-09-18","passed","2026-09-18","","com.flamingo.qa.ui.form.PracticeFormTests","com.flamingo.qa.ui.form.PracticeFormTests","submitFormWithInvalidFieldShowsNoSuccessModal"
"","279","TC-BOOK-008: Get booking ids filtered by checkin/checkout date returns a valid list","","2026-09-18","passed","2026-09-18","","com.flamingo.qa.api.booking.BookingCrudTests","com.flamingo.qa.api.booking.BookingCrudTests","getBookingIdsFilteredByCheckinAndCheckout"
"","80","TC-BOOK-001: Create booking with valid data returns the created booking","","2026-09-18","passed","2026-09-18","","com.flamingo.qa.api.booking.BookingCrudTests","com.flamingo.qa.api.booking.BookingCrudTests","createBookingWithValidData"
"","113","TC-BOOK-003: Update booking with a valid token updates all fields","","2026-09-18","passed","2026-09-18","","com.flamingo.qa.api.booking.BookingCrudTests","com.flamingo.qa.api.booking.BookingCrudTests","updateBookingWithValidTokenAndData"
"","71","TC-GQL-003: Query movies with pagination returns a limited number of results","","2026-09-18","passed","2026-09-18","","com.flamingo.qa.api.graphql.GraphQLPositiveTests","com.flamingo.qa.api.graphql.GraphQLPositiveTests","queryMoviesWithPagination"
"","1920","TC-UI-TABLE-003: Deleting a record removes it from the table","","2026-09-18","passed","2026-09-18","","com.flamingo.qa.ui.webtables.WebTablesTests","com.flamingo.qa.ui.webtables.WebTablesTests","deleteRecordRemovesItFromTable"
"","120","TC-BOOK-009: Update booking (PUT) with Basic auth updates all fields","","2026-09-18","passed","2026-09-18","","com.flamingo.qa.api.booking.BookingCrudTests","com.flamingo.qa.api.booking.BookingCrudTests","updateBookingWithBasicAuth"
"","107","TC-BOOK-005: Delete booking with a valid token removes the booking","","2026-09-18","passed","2026-09-18","","com.flamingo.qa.api.booking.BookingCrudTests","com.flamingo.qa.api.booking.BookingCrudTests","deleteBookingWithValidToken"
"","225","TC-GQL-002: Query a single movie by id (using GraphQL variables) returns the matching movie","","2026-09-18","passed","2026-09-18","","com.flamingo.qa.api.graphql.GraphQLPositiveTests","com.flamingo.qa.api.graphql.GraphQLPositiveTests","queryMovieById"
"","50","TC-BOOK-N04: Create booking with a malformed JSON body returns a client error trailing comma","","2026-09-18","passed","2026-09-18","","com.flamingo.qa.api.booking.BookingNegativeTests","com.flamingo.qa.api.booking.BookingNegativeTests","createBookingWithMalformedJsonBody"
"","131","TC-BOOK-004: Partial update with a valid token only changes provided fields","","2026-09-18","passed","2026-09-18","","com.flamingo.qa.api.booking.BookingCrudTests","com.flamingo.qa.api.booking.BookingCrudTests","partialUpdateBookingWithValidToken"
"","1837","TC-UI-TABLE-004: Searching filters the table to only matching records","","2026-09-18","passed","2026-09-18","","com.flamingo.qa.ui.webtables.WebTablesTests","com.flamingo.qa.ui.webtables.WebTablesTests","searchFiltersTableToMatchingRecords"
"","1542","TC-UI-TABLE-N02: Adding a record with an invalid email format does not add it to the table","","2026-09-18","passed","2026-09-18","","com.flamingo.qa.ui.webtables.WebTablesTests","com.flamingo.qa.ui.webtables.WebTablesTests","addRecordWithInvalidEmailIsRejected"
"","63","invalidQueryReturnsGraphQLError(String, String) TC-GQL-N02: Query with malformed syntax returns a GraphQL syntax error","","2026-09-18","passed","2026-09-18","","com.flamingo.qa.api.graphql.GraphQLNegativeTests","com.flamingo.qa.api.graphql.GraphQLNegativeTests","invalidQueryReturnsGraphQLError"
"","4152","TC-AUTH-001: Successful authentication returns a valid token","","2026-09-18","passed","2026-09-18","","com.flamingo.qa.api.auth.AuthTests","com.flamingo.qa.api.auth.AuthTests","createTokenWithValidCredentials"
"","2107","submitFormWithInvalidFieldShowsNoSuccessModal(String, BiConsumer, String, Page) TC-UI-FORM-N03: Submitting the form with an invalid mobile number shows no success modal","","2026-09-18","passed","2026-09-18","","com.flamingo.qa.ui.form.PracticeFormTests","com.flamingo.qa.ui.form.PracticeFormTests","submitFormWithInvalidFieldShowsNoSuccessModal"
"","1413","TC-UI-FORM-N01: Submitting the form without any required data shows no success modal","","2026-09-18","passed","2026-09-18","","com.flamingo.qa.ui.form.PracticeFormTests","com.flamingo.qa.ui.form.PracticeFormTests","submitEmptyFormShowsNoSuccessModal"
"","4851","TC-GQL-005: Query movies ordered by title returns results sorted ascending","","2026-09-18","passed","2026-09-18","","com.flamingo.qa.api.graphql.GraphQLPositiveTests","com.flamingo.qa.api.graphql.GraphQLPositiveTests","queryMoviesOrderedByTitle"
"","95","TC-GQL-001: Query movies returns a list with title and poster","","2026-09-18","passed","2026-09-18","","com.flamingo.qa.api.graphql.GraphQLPositiveTests","com.flamingo.qa.api.graphql.GraphQLPositiveTests","queryMovies"
