"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1884","TC-UI-FORM-N01: Submitting the form without any required data shows no success modal","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.ui.form.PracticeFormTests","com.flamingo.qa.ui.form.PracticeFormTests","submitEmptyFormShowsNoSuccessModal"
"","398","TC-AUTH-002: Authentication with invalid credentials returns no token","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.auth.AuthTests","com.flamingo.qa.api.auth.AuthTests","createTokenWithInvalidCredentials"
"","55","TC-GQL-003: Query movies with pagination returns a limited number of results","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.graphql.GraphQLPositiveTests","com.flamingo.qa.api.graphql.GraphQLPositiveTests","queryMoviesWithPagination"
"","4076","TC-PING-001: Health check endpoint is reachable","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.ping.PingTests","com.flamingo.qa.api.ping.PingTests","pingHealthCheck"
"","1464","TC-GQL-N01: Query with an unknown field returns a GraphQL error","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.graphql.GraphQLNegativeTests","com.flamingo.qa.api.graphql.GraphQLNegativeTests","queryWithUnknownField"
"","149","TC-GQL-N03: Query a movie with a non-existent id returns null data","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.graphql.GraphQLNegativeTests","com.flamingo.qa.api.graphql.GraphQLNegativeTests","queryMovieWithNonExistentId"
"","1110","TC-BOOK-008: Get booking ids filtered by checkin/checkout date returns a valid list","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.booking.BookingCrudTests","com.flamingo.qa.api.booking.BookingCrudTests","getBookingIdsFilteredByCheckinAndCheckout"
"","369","TC-BOOK-N04: Create booking with a malformed JSON body returns a client error","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.booking.BookingNegativeTests","com.flamingo.qa.api.booking.BookingNegativeTests","createBookingWithMalformedJsonBody"
"","3522","TC-UI-TABLE-002: Editing an existing record updates its values in the table","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.ui.webtables.WebTablesTests","com.flamingo.qa.ui.webtables.WebTablesTests","editRecordUpdatesItsValues"
"","1121","TC-BOOK-005: Delete booking with a valid token removes the booking","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.booking.BookingCrudTests","com.flamingo.qa.api.booking.BookingCrudTests","deleteBookingWithValidToken"
"","1119","TC-BOOK-009: Update booking (PUT) with Basic auth updates all fields","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.booking.BookingCrudTests","com.flamingo.qa.api.booking.BookingCrudTests","updateBookingWithBasicAuth"
"","62","TC-GQL-N02: Query with malformed syntax returns a GraphQL syntax error","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.graphql.GraphQLNegativeTests","com.flamingo.qa.api.graphql.GraphQLNegativeTests","queryWithMalformedSyntax"
"","77","TC-GQL-004: Query movies connection returns pagination info","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.graphql.GraphQLPositiveTests","com.flamingo.qa.api.graphql.GraphQLPositiveTests","queryMoviesConnection"
"","1970","TC-UI-TABLE-N01: Clicking a column header does not reorder rows (no sort support in this build)","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.ui.webtables.WebTablesTests","com.flamingo.qa.ui.webtables.WebTablesTests","clickingColumnHeaderDoesNotReorderRows"
"","1129","TC-BOOK-003: Update booking with a valid token updates all fields","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.booking.BookingCrudTests","com.flamingo.qa.api.booking.BookingCrudTests","updateBookingWithValidTokenAndData"
"","232","TC-GQL-002: Query a single movie by id (using GraphQL variables) returns the matching movie","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.graphql.GraphQLPositiveTests","com.flamingo.qa.api.graphql.GraphQLPositiveTests","queryMovieById"
"","2278","TC-UI-TABLE-004: Searching filters the table to only matching records","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.ui.webtables.WebTablesTests","com.flamingo.qa.ui.webtables.WebTablesTests","searchFiltersTableToMatchingRecords"
"","76","TC-GQL-005: Query movies ordered by title returns results sorted ascending","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.graphql.GraphQLPositiveTests","com.flamingo.qa.api.graphql.GraphQLPositiveTests","queryMoviesOrderedByTitle"
"","2605","TC-UI-TABLE-001: Adding a new record shows it in the table","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.ui.webtables.WebTablesTests","com.flamingo.qa.ui.webtables.WebTablesTests","addNewRecordShowsItInTable"
"","388","TC-BOOK-N01: Get booking with a non-existent id returns 404","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.booking.BookingNegativeTests","com.flamingo.qa.api.booking.BookingNegativeTests","getBookingWithNonExistentId"
"","2749","TC-UI-TABLE-003: Deleting a record removes it from the table","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.ui.webtables.WebTablesTests","com.flamingo.qa.ui.webtables.WebTablesTests","deleteRecordRemovesItFromTable"
"","447","TC-AUTH-001: Successful authentication returns a valid token","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.auth.AuthTests","com.flamingo.qa.api.auth.AuthTests","createTokenWithValidCredentials"
"","1104","TC-BOOK-002: Get booking by id returns the matching booking data","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.booking.BookingCrudTests","com.flamingo.qa.api.booking.BookingCrudTests","getBookingWithValidId"
"","588","TC-BOOK-006: Get booking ids without filters returns a non-empty list","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.booking.BookingCrudTests","com.flamingo.qa.api.booking.BookingCrudTests","getBookingIdsWithoutFilters"
"","1112","TC-BOOK-007: Get booking ids filtered by first/last name includes the matching booking","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.booking.BookingCrudTests","com.flamingo.qa.api.booking.BookingCrudTests","getBookingIdsFilteredByFirstNameAndLastName"
"","1105","TC-BOOK-N02: Update booking without an auth token returns 403","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.booking.BookingNegativeTests","com.flamingo.qa.api.booking.BookingNegativeTests","updateBookingWithoutAuthToken"
"","67","TC-GQL-001: Query movies returns a list with title and poster","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.graphql.GraphQLPositiveTests","com.flamingo.qa.api.graphql.GraphQLPositiveTests","queryMovies"
"","5106","TC-UI-FORM-001: Submitting a fully filled form shows the correct data in the success modal","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.ui.form.PracticeFormTests","com.flamingo.qa.ui.form.PracticeFormTests","submitFullyFilledFormShowsMatchingSummary"
"","1540","TC-BOOK-N03: Delete booking without an auth token returns 403","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.booking.BookingNegativeTests","com.flamingo.qa.api.booking.BookingNegativeTests","deleteBookingWithoutAuthToken"
"","731","TC-BOOK-001: Create booking with valid data returns the created booking","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.booking.BookingCrudTests","com.flamingo.qa.api.booking.BookingCrudTests","createBookingWithValidData"
"","1096","TC-BOOK-004: Partial update with a valid token only changes provided fields","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.booking.BookingCrudTests","com.flamingo.qa.api.booking.BookingCrudTests","partialUpdateBookingWithValidToken"
